record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1,2,3,4,5,6,7,Ranked choice voting,LDPV,Gender,Age,<50 / 50+,Race,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
751000XXXX,02/25/20 10:08 PM,1051,36022,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,58,2,3,1,1,1,2,1,3,2,1,1,2,1,2,3,3,0.750664219
401000XXXX,02/25/20 10:06 PM,1057,35555,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,60,2,3,1,1,1,2,1,3,2,1,1,2,2,2,3,3,0.807961723
141110XXXX,02/26/20 11:30 AM,1061,36477,1,6,1,25,25,0,0,0,15,0,0,,,,,,,,,2,2,28,1,3,1,2,1,3,2,2,1,1,2,2,2,2,3,3,0.630920158
180100XXXX,02/25/20 10:13 PM,1073,35205,1,6,2,59,25,0,0,0,50,0,50,c6,c8,c2,c1,c3,c7,c5,3,1,2,29,1,3,2,4,2,3,2,1,2,4,2,2,2,2,3,3,0.630920158
191100XXXX,02/25/20 10:13 PM,1073,35243,1,4,,0,20,20,0,20,0,0,20,,,,,,,,,2,2,38,1,3,3,2,3,3,3,1,2,1,1,2,2,2,2,3,0.647561373
100310XXXX,02/25/20 10:21 PM,1073,35215,1,5,2,20,20,20,0,0,20,20,0,c1,c6,c2,c9,,,,,1,2,42,1,2,2,3,2,3,2,1,2,4,1,2,2,2,1,3,1.026332677
102510XXXX,02/25/20 10:20 PM,1073,35217,1,6,2,50,40,50,10,40,60,10,70,c8,c6,c3,c1,c5,c7,c2,4,1,2,50,2,3,2,5,2,2,2,2,2,4,2,2,2,1,1,3,0.750664219
214910XXXX,02/26/20 12:41 PM,1073,35228,1,4,,50,0,0,0,0,50,0,0,,,,,,,,,2,2,60,2,3,2,3,2,2,1,3,2,2,1,2,1,2,2,3,0.750664219
218910XXXX,02/26/20 12:39 PM,1073,35216,1,6,1,30,3,2,0,5,25,3,3,,,,,,,,,2,1,54,2,3,1,1,3,2,1,1,2,1,1,2,1,2,2,3,0.807961723
112410XXXX,02/25/20 10:20 PM,1077,35633,1,4,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,27,1,3,1,1,1,2,3,1,2,3,3,2,2,2,3,3,1.029281718
148710XXXX,02/26/20 11:31 AM,1081,36830,1,6,2,50,50,10,0,15,0,29,50,c9,,,,,,,,1,2,19,1,3,2,4,4,2,3,1,2,2,3,2,2,2,2,3,0.630920158
235100XXXX,02/25/20 10:14 PM,1081,36804,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,32,1,3,1,2,1,1,2,2,1,1,2,2,2,2,2,3,1.029281718
174100XXXX,02/25/20 10:47 PM,1081,36877,1,6,1,40,15,0,0,0,49,0,10,,,,,,,,,2,1,37,1,3,1,1,1,2,2,2,1,3,1,2,2,2,2,3,0.616342712
196710XXXX,02/26/20 11:31 AM,1089,35760,1,3,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,29,1,3,1,3,1,2,2,1,1,4,2,2,2,2,3,3,0.630920158
679100XXXX,02/25/20 10:17 PM,1089,35763,2,,,,,,,,,,,,,,,,,,,2,1,32,1,3,3,3,4,1,1,2,1,2,2,2,2,2,3,3,1.029281718
156710XXXX,02/26/20 11:31 AM,1095,35951,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,40,1,3,1,1,1,2,2,2,1,1,1,2,2,2,3,3,0.647561373
183410XXXX,02/26/20 11:34 AM,1097,36605,1,4,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,61,2,3,1,4,1,2,1,2,2,3,3,2,2,2,2,3,0.750664219
776100XXXX,02/25/20 10:19 PM,1097,36619,3,,,,,,,,,,,,,,,,,,,2,1,52,2,3,3,3,5,1,1,2,2,3,1,2,2,2,1,3,0.807961723
779100XXXX,02/25/20 10:19 PM,1097,36605,1,6,2,100,100,100,100,100,100,100,100,c6,c1,c8,c4,c5,c3,c2,5,1,1,36,1,3,2,3,4,1,2,1,2,1,2,2,2,2,2,3,0.616342712
262100XXXX,02/25/20 10:58 PM,1097,36606,1,6,2,65,25,50,5,25,80,40,50,c6,c1,c5,c8,c7,c3,c2,1,1,1,48,1,2,2,4,2,3,3,2,1,4,2,2,1,2,1,3,0.730263431
620100XXXX,02/25/20 10:18 PM,1101,36116,1,5,2,65,78,78,99,76,98,98,67,c6,c4,c9,,,,,,1,2,32,1,2,2,3,1,2,1,1,1,3,1,2,2,2,2,3,0.781752262
215310XXXX,02/26/20 12:41 PM,1101,36117,1,6,2,100,40,100,0,0,30,20,30,c1,c3,c2,c8,c7,c5,c6,1,1,2,37,1,3,4,4,2,2,1,2,2,3,2,2,1,1,1,3,0.647561373
189010XXXX,02/26/20 11:32 AM,1113,36867,1,6,2,50,65,25,0,25,0,0,45,c2,c8,c1,c5,c6,c3,c4,2,1,2,40,1,2,2,3,2,2,1,2,1,1,1,2,2,2,1,3,1.026332677
445100XXXX,02/25/20 10:16 PM,1113,36870,1,6,2,75,25,80,50,0,90,0,99,c8,c6,c3,c1,c4,c5,c2,1,1,1,29,1,3,2,4,2,1,1,2,2,3,2,2,2,2,1,3,1.029281718
103910XXXX,02/25/20 10:20 PM,1115,35054,1,3,,20,10,10,20,10,10,10,20,,,,,,,,,2,2,60,2,3,1,4,4,1,1,3,2,3,1,2,2,2,3,3,0.750664219
193410XXXX,02/26/20 11:32 AM,1127,35549,1,6,2,100,0,0,0,0,0,0,0,c1,c5,c3,c7,c2,c4,c8,3,1,1,50,2,2,2,4,2,2,3,2,2,1,3,2,2,2,3,3,1.301256306
146100XXXX,02/25/20 10:44 PM,2020,99504,2,,,,,,,,,,,,,,,,,,,2,1,49,1,4,2,3,4,2,2,2,1,2,2,1,2,2,2,4,1.183745618
143410XXXX,02/26/20 11:30 AM,2110,99801,1,6,2,70,60,50,20,40,30,40,40,c1,c3,c8,c2,c5,c7,c6,1,1,2,65,2,3,2,4,2,3,1,1,2,4,2,2,2,1,3,4,0.71232693
622100XXXX,02/25/20 10:18 PM,2110,99801,1,5,5,,,,,,,,,,,,,,,,,2,1,31,1,3,3,3,2,1,2,3,1,4,2,2,1,2,3,4,1.148495507
112100XXXX,02/25/20 10:07 PM,4001,86515,3,,,,,,,,,,,,,,,,,,,2,1,18,1,6,4,6,4,1,1,1,2,4,2,2,2,2,3,4,1.069863145
222010XXXX,02/26/20 01:43 PM,4003,85635,1,4,,0,100,0,0,0,0,0,0,,,,,,,,,2,1,60,2,1,3,2,3,2,2,3,1,3,2,2,2,2,2,4,0.719340883
462100XXXX,02/26/20 11:37 AM,4007,85541,2,,,,,,,,,,,,,,,,,,,2,1,31,1,3,3,6,4,1,2,1,2,4,3,2,2,2,1,4,1.148495507
497100XXXX,02/25/20 10:16 PM,4013,85029,2,,,,,,,,,,,,,,,,,,,2,2,28,1,1,2,5,2,1,1,1,1,4,2,2,2,2,1,4,0.979239385
595100XXXX,02/25/20 10:18 PM,4013,85007,1,6,2,60,80,70,5,30,70,5,20,c2,c6,c3,c1,c5,c9,,1,1,2,25,1,1,2,3,3,1,2,1,2,4,2,2,2,2,1,4,0.979239385
750100XXXX,02/25/20 10:19 PM,4013,85020,1,6,2,50,10,0,0,0,30,0,10,c1,c6,c2,c3,c8,c5,c7,3,1,2,46,1,1,2,3,2,3,2,1,2,1,1,2,2,2,1,4,1.531124109
759100XXXX,02/25/20 10:19 PM,4013,85246,1,6,2,15,15,10,10,10,50,10,50,c6,c9,,,,,,,1,2,25,1,1,2,4,3,3,1,2,2,4,2,2,2,1,2,4,0.979239385
916100XXXX,02/25/20 10:22 PM,4013,85051,2,,,,,,,,,,,,,,,,,,,2,2,58,2,1,2,3,4,1,1,3,2,2,2,2,2,2,2,4,2.044088738
132910XXXX,02/26/20 11:29 AM,4013,85035,1,4,,50,0,0,0,0,50,0,0,,,,,,,,,2,2,37,1,1,3,3,4,1,2,1,1,1,1,2,2,2,1,4,1.531124109
219810XXXX,02/26/20 12:43 PM,4013,85268,1,6,2,30,10,10,5,20,60,5,30,c6,c1,c7,c8,c4,c3,c5,2,1,2,23,1,1,2,3,2,3,1,2,2,4,2,2,2,2,2,4,0.979239385
428100XXXX,02/26/20 06:13 AM,4013,85326,1,6,1,15,35,0,0,0,10,0,45,,,,,,,,,2,1,43,1,1,1,2,1,3,3,1,1,3,2,2,2,2,2,4,1.384077398
431000XXXX,02/25/20 10:06 PM,4013,85383,1,6,5,,,,,,,,,,,,,,,,,2,2,50,2,3,1,3,1,3,3,2,1,1,1,2,2,2,2,4,0.948053008
496100XXXX,02/25/20 10:16 PM,4013,85003,1,6,2,55,66,33,33,22,77,33,88,c8,c2,c6,c1,c7,c4,c3,2,1,2,30,1,3,2,5,2,3,2,2,1,2,2,2,2,2,2,4,1.100950863
596100XXXX,02/25/20 10:18 PM,4013,85283,1,6,1,60,0,0,0,0,40,0,0,,,,,,,,,2,2,40,1,3,1,3,1,3,2,2,1,1,1,2,2,2,1,4,0.804052797
756100XXXX,02/25/20 10:19 PM,4013,85143,2,,,,,,,,,,,,,,,,,,,2,2,26,1,3,4,6,4,2,1,1,1,4,3,2,2,2,3,4,1.100950863
107710XXXX,02/25/20 10:20 PM,4013,85202,2,,,,,,,,,,,,,,,,,,,2,2,41,1,3,3,3,1,2,2,1,2,1,1,2,2,2,2,4,0.804052797
117610XXXX,02/25/20 10:16 PM,4013,85383,1,6,2,0,50,10,0,0,100,0,30,c6,c8,c1,c3,c9,,,2,1,2,27,1,3,2,5,4,2,2,1,1,4,2,2,2,1,1,4,1.100950863
180710XXXX,02/26/20 11:36 AM,4013,85308,1,6,5,,,,,,,,,,,,,,,,,2,2,52,2,3,3,2,1,2,2,2,1,1,1,2,2,2,2,4,0.948053008
181310XXXX,02/26/20 11:35 AM,4013,85022,1,2,,50,50,35,0,25,50,20,45,,,,,,,,,2,2,71,2,3,3,6,1,1,1,3,2,4,2,2,2,2,2,4,0.71232693
192110XXXX,02/26/20 11:32 AM,4013,85225,1,6,1,0,0,0,0,0,50,0,0,,,,,,,,,2,2,45,1,3,1,1,1,3,2,3,2,3,2,2,2,2,2,4,0.804052797
194810XXXX,02/26/20 11:32 AM,4013,85301,1,1,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,44,1,3,2,6,3,1,1,3,1,4,3,2,2,1,1,4,0.804052797
219510XXXX,02/26/20 12:42 PM,4013,85302,1,6,1,20,40,10,0,0,30,0,0,,,,,,,,,2,2,65,2,3,1,1,1,2,2,3,2,1,1,2,2,2,2,4,0.71232693
220210XXXX,02/26/20 12:45 PM,4013,85202,3,,,,,,,,,,,,,,,,,,,2,2,18,1,2,4,6,2,1,1,1,3,2,3,2,2,2,1,4,0.341467109
503100XXXX,02/25/20 10:16 PM,4013,85020,1,4,,85,70,25,0,0,75,0,35,,,,,,,,,2,1,31,1,2,2,3,2,1,1,1,2,3,2,2,2,2,1,4,0.913640841
572100XXXX,02/25/20 10:18 PM,4013,85028,1,6,2,80,40,50,0,50,30,40,75,c5,c8,c1,c9,,,,,1,1,51,2,3,2,4,2,3,3,2,2,4,2,2,2,2,2,4,0.927641389
625100XXXX,02/25/20 10:18 PM,4013,85338,1,5,5,,,,,,,,,,,,,,,,,2,1,36,1,3,1,3,2,3,3,2,1,3,2,2,2,2,2,4,0.899656096
105210XXXX,02/25/20 10:20 PM,4013,85017,1,6,2,50,90,0,0,0,0,0,0,c2,c1,c6,c9,,,,,1,1,57,2,3,2,4,2,2,1,1,2,3,2,2,2,2,1,4,0.927641389
111410XXXX,02/25/20 10:23 PM,4013,85251,1,6,2,0,100,0,0,0,0,0,0,c2,c1,c6,c3,c5,c4,c7,1,1,1,80,2,3,2,4,2,2,2,2,2,1,2,1,2,2,1,4,0.598775594
115310XXXX,02/25/20 10:20 PM,4013,85295,1,5,1,0,10,0,0,0,15,0,0,,,,,,,,,2,1,29,1,3,1,2,4,2,2,1,1,4,2,2,2,2,2,4,1.148495507
117810XXXX,02/25/20 10:24 PM,4013,85331,1,6,2,2,5,10,3,10,100,5,50,c6,c8,c9,,,,,,1,1,63,2,3,2,5,2,2,1,2,2,4,2,2,2,2,2,4,0.927641389
119310XXXX,02/25/20 10:24 PM,4013,85203,1,6,3,0,0,0,50,0,0,0,0,,,,,,,,,2,1,74,2,3,3,3,1,3,2,2,2,2,2,2,1,2,2,4,0.598775594
119610XXXX,02/25/20 10:24 PM,4013,85041,1,6,1,45,30,35,5,10,45,5,25,,,,,,,,,2,1,67,2,3,1,2,1,2,2,2,2,4,2,2,1,2,1,4,0.598775594
137210XXXX,02/26/20 11:30 AM,4013,85388,1,5,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,67,2,3,1,2,1,2,3,2,2,3,2,2,1,2,1,4,0.598775594
163310XXXX,02/26/20 11:33 AM,4013,85022,1,3,,30,50,0,10,20,25,0,5,,,,,,,,,2,1,75,2,3,3,3,3,2,2,2,2,3,1,2,2,2,3,4,0.598775594
168210XXXX,02/26/20 11:33 AM,4013,85224,1,3,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,37,1,3,1,2,1,3,2,1,2,2,3,2,2,2,1,4,0.899656096
184910XXXX,02/26/20 11:36 AM,4013,85215,1,6,3,0,100,0,0,0,0,50,0,,,,,,,,,2,1,65,2,3,3,3,2,2,2,2,2,4,2,2,1,2,1,4,0.598775594
205710XXXX,02/26/20 11:38 AM,4013,85248,1,2,,40,75,30,1,10,50,10,45,,,,,,,,,2,1,59,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,4,0.927641389
206210XXXX,02/26/20 11:38 AM,4013,85234,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,48,1,3,1,2,1,3,3,2,1,2,2,2,2,2,2,4,0.899656096
151000XXXX,02/25/20 10:20 PM,4013,85015,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,55,2,1,1,2,1,2,2,1,2,2,2,2,2,1,1,4,0.719340883
881000XXXX,02/25/20 10:34 PM,4013,85308,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,62,2,3,1,2,1,2,2,2,2,2,1,2,1,2,2,4,0.927641389
173100XXXX,02/25/20 10:43 PM,4013,85281,1,6,4,25,32,10,20,5,50,10,5,,,,,,,,,2,1,42,1,2,3,3,3,1,2,1,1,4,2,2,2,2,1,4,0.429661779
252100XXXX,02/25/20 10:58 PM,4013,85392,1,6,2,0,5,60,5,2,90,0,80,c6,c8,c3,c4,c5,c7,c2,5,1,1,36,1,3,3,4,2,2,2,3,1,1,2,2,2,2,2,4,0.899656096
305100XXXX,02/25/20 11:03 PM,4013,85007,1,6,1,10,5,5,5,10,10,5,5,,,,,,,,,2,1,44,1,2,1,1,1,2,1,2,2,3,2,2,2,2,1,4,0.429661779
615100XXXX,02/26/20 01:32 PM,4013,85048,1,6,1,25,25,1,1,1,50,35,35,,,,,,,,,2,1,69,2,3,1,3,1,3,3,2,2,4,2,2,2,2,2,4,0.598775594
205010XXXX,02/26/20 11:32 AM,4015,86406,3,,,,,,,,,,,,,,,,,,,2,2,36,1,3,2,3,2,1,1,2,1,4,2,2,2,2,2,4,0.804052797
207210XXXX,02/26/20 11:54 AM,4017,86030,1,6,2,90,90,50,30,70,75,70,80,c1,c2,c5,c6,c8,c3,c7,1,1,1,55,2,6,2,3,2,2,2,1,2,4,2,2,2,2,3,4,1.433027902
886100XXXX,02/25/20 10:20 PM,4019,85641,2,,,,,,,,,,,,,,,,,,,2,2,47,1,1,1,2,1,2,3,2,1,4,1,2,2,2,3,4,1.531124109
165100XXXX,02/25/20 10:45 PM,4019,85730,1,7,2,5,1,35,1,1,25,1,2,c3,c6,c8,c1,c4,c5,c2,2,1,1,38,1,1,2,3,4,2,3,2,1,3,1,1,2,2,2,4,1.384077398
872100XXXX,02/25/20 10:16 PM,4019,85629,2,,,,,,,,,,,,,,,,,,,2,2,46,1,2,4,6,4,3,1,1,2,4,2,2,2,2,3,4,1.068394064
140410XXXX,02/26/20 11:30 AM,4019,85710,1,6,2,0,0,0,0,0,0,0,0,c9,,,,,,,,1,2,23,1,5,2,3,2,2,1,1,2,2,3,2,2,1,1,4,1.414341656
144010XXXX,02/26/20 11:30 AM,4019,85730,1,5,2,26,38,24,11,34,55,26,36,c6,c8,c1,c9,,,,,1,2,26,1,3,2,4,4,2,1,2,1,4,2,2,2,1,2,4,1.100950863
176410XXXX,02/26/20 11:33 AM,4019,85622,2,,,,,,,,,,,,,,,,,,,2,2,54,2,3,4,3,4,2,1,1,2,4,2,2,1,2,2,4,0.948053008
179210XXXX,02/26/20 11:33 AM,4019,85705,2,,,,,,,,,,,,,,,,,,,2,2,38,1,3,2,4,4,1,1,2,2,4,1,2,2,2,1,4,0.804052797
214210XXXX,02/26/20 12:41 PM,4019,85653,1,6,2,80,80,100,10,50,100,50,100,c3,c8,c6,c1,c2,c5,c7,5,1,2,73,2,3,2,4,2,1,2,2,2,3,2,2,2,2,2,4,0.71232693
121510XXXX,02/25/20 10:28 PM,4019,85739,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,77,2,3,1,2,1,3,2,2,2,1,2,2,2,2,2,4,0.598775594
148510XXXX,02/26/20 11:30 AM,4023,85648,2,,,,,,,,,,,,,,,,,,,2,1,33,1,3,1,3,1,1,1,1,1,4,3,2,2,2,3,4,1.148495507
894100XXXX,02/25/20 10:20 PM,4027,85364,2,,,,,,,,,,,,,,,,,,,2,2,24,1,1,2,2,3,1,3,1,2,2,2,1,2,2,2,4,0.979239385
205810XXXX,02/26/20 11:37 AM,4027,85364,1,5,5,,,,,,,,,,,,,,,,,2,2,45,1,3,3,4,4,1,1,1,1,3,2,2,2,2,3,4,0.804052797
650100XXXX,02/25/20 10:17 PM,5005,72653,1,6,2,75,100,95,20,40,100,20,55,c6,c2,c3,c1,c8,c5,c7,1,1,1,49,1,3,2,3,3,2,2,3,2,4,2,2,2,2,2,3,0.616342712
125100XXXX,02/25/20 10:11 PM,5007,72714,1,6,2,100,100,100,0,100,100,100,100,c6,c3,c1,c2,c8,c7,c5,5,1,2,67,2,3,2,4,2,3,2,3,2,4,2,2,2,2,2,3,0.789827415
498100XXXX,02/26/20 11:39 AM,5007,72712,1,4,,5,50,15,0,15,20,5,10,,,,,,,,,2,1,66,2,3,1,2,1,3,3,2,2,1,1,2,2,2,1,3,0.67613288
197910XXXX,02/26/20 11:30 AM,5011,71671,1,4,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,45,1,3,3,6,4,2,1,3,2,1,2,2,2,1,3,3,0.647561373
403100XXXX,02/25/20 10:15 PM,5031,72401,1,5,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,19,1,3,1,6,4,2,1,1,2,3,2,2,2,2,3,3,0.630920158
106100XXXX,02/25/20 10:37 PM,5047,72933,1,6,1,30,45,5,0,0,65,0,30,,,,,,,,,2,1,27,1,3,1,2,1,3,2,2,1,1,1,2,2,2,3,3,1.029281718
411000XXXX,02/25/20 10:28 PM,5051,71913,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,42,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,3,1.304161943
631000XXXX,02/25/20 10:07 PM,5063,72501,1,3,,0,40,30,0,0,0,20,0,,,,,,,,,2,2,57,2,3,1,1,4,3,1,2,2,1,1,2,1,2,3,3,0.750664219
496100XXXX,02/26/20 11:38 AM,5063,72501,1,6,1,10,10,5,0,5,20,0,5,,,,,,,,,2,1,41,1,3,1,1,1,3,3,2,1,1,1,2,2,2,3,3,0.616342712
146310XXXX,02/26/20 11:30 AM,5073,71845,1,3,,25,25,10,10,25,50,10,30,,,,,,,,,2,2,67,2,3,1,2,1,2,1,3,1,1,1,2,2,2,3,3,0.789827415
292100XXXX,02/25/20 10:14 PM,5091,71854,1,6,4,0,90,0,20,20,95,50,20,,,,,,,,,2,1,31,1,3,3,4,3,1,1,1,2,4,2,2,2,2,1,3,1.029281718
149710XXXX,02/26/20 11:31 AM,5093,72315,1,3,,0,50,0,0,0,25,0,25,,,,,,,,,2,2,50,2,3,3,4,4,2,2,2,2,3,1,2,2,1,3,3,0.750664219
149510XXXX,02/26/20 11:31 AM,5095,72021,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,45,1,3,1,1,1,3,2,2,1,3,1,2,2,2,3,3,0.647561373
181100XXXX,02/25/20 10:48 PM,5111,72432,1,4,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,50,2,3,1,2,1,2,2,2,2,3,1,2,2,2,3,3,0.807961723
397100XXXX,02/25/20 10:15 PM,5119,72120,1,3,,60,50,20,30,50,60,15,50,,,,,,,,,2,2,32,1,3,1,4,4,2,1,2,1,1,1,2,2,2,2,3,0.630920158
217610XXXX,02/26/20 12:41 PM,5119,72116,1,4,,70,90,60,40,40,50,80,60,,,,,,,,,2,2,40,1,3,2,4,2,3,1,2,2,2,1,2,2,2,1,3,0.647561373
251100XXXX,02/25/20 10:58 PM,5119,72207,1,4,,30,30,4,5,0,65,5,0,,,,,,,,,2,1,43,1,3,1,2,1,2,3,3,1,1,2,2,1,2,2,3,0.616342712
184710XXXX,02/26/20 11:33 AM,5123,72326,2,,,,,,,,,,,,,,,,,,,2,2,56,2,3,1,2,4,2,1,2,1,3,1,2,2,2,3,3,0.750664219
607100XXXX,02/25/20 10:18 PM,5125,72019,1,6,2,0,0,50,4,0,50,50,0,c2,c1,c6,c7,c3,c8,c4,2,1,2,33,1,3,2,2,2,2,2,1,2,1,2,2,2,2,2,3,0.630920158
113210XXXX,02/25/20 10:20 PM,5127,72944,1,6,2,0,3,0,7,2,1,4,8,c5,c7,c4,c9,,,,,1,1,54,2,3,1,3,1,1,1,2,2,1,1,2,2,2,3,3,0.807961723
129110XXXX,02/26/20 11:29 AM,5131,72908,1,6,4,50,40,0,0,0,70,0,40,,,,,,,,,2,2,23,1,3,3,4,3,2,1,2,1,3,2,2,2,1,2,3,0.630920158
130410XXXX,02/26/20 11:29 AM,5131,72901,2,,,,,,,,,,,,,,,,,,,2,2,31,1,3,3,6,4,1,1,1,1,4,2,2,2,1,3,3,0.630920158
